Store,open_positive_days,mean_sales,median_sales,std_sales,p95_sales,p99_sales,maximum_sales,mean_customers,median_customers
20,619,7756.9353796445885,7804.0,1695.430874493675,10482.7,11622.980000000001,12849,848.5589660743134,887.0
21,777,5482.320463320463,5278.0,1790.771323911026,8662.399999999998,10413.960000000001,13012,516.3616473616473,518.0
22,619,4525.857835218094,4311.0,1140.0046112788557,6598.6,7835.220000000006,9437,504.2471728594507,504.0
23,779,5520.281129653402,5181.0,1605.5300230134883,8692.2,10311.52,13460,482.43645699614893,466.0
24,779,9388.28626444159,8875.0,2604.8210323838753,14463.799999999996,18160.06,22015,835.4300385109115,809.0
25,750,11168.742666666667,10812.5,2807.8711955228787,16238.749999999998,19141.71,24882,1570.3626666666667,1543.0
26,782,6671.695652173913,6363.5,2012.8004028395899,10631.85,12084.359999999979,16562,556.0728900255755,542.5
27,779,9478.57381258023,8684.0,2915.379757284599,14878.199999999997,18395.14000000001,25737,1074.7586649550706,1035.0
28,768,5313.736979166667,5049.5,2128.425550912101,9142.649999999998,11473.860000000055,18474,583.5885416666666,592.0
29,779,7364.775353016688,6887.0,2204.586750381418,12046.1,14120.860000000002,15758,653.7008985879332,630.0
30,777,5294.782496782497,5149.0,1542.345143458142,8170.599999999998,9517.560000000001,11074,777.1274131274131,769.0
31,784,5862.427295918367,5716.5,1333.9646416623827,8425.449999999995,10208.299999999996,13252,586.0510204081633,575.0
32,621,4067.8212560386473,3896.0,1278.9942679128415,6370.0,7089.5999999999985,7800,477.1867954911433,485.0
33,779,8436.659820282413,8248.0,1745.3864720537538,11759.3,13409.560000000003,15419,836.3093709884467,825.0
34,784,8031.485969387755,7807.5,1513.0003548832915,11036.449999999997,12373.869999999999,13357,993.4591836734694,972.0
35,779,9703.071887034659,9127.0,2998.390768904521,15393.3,19601.800000000003,25506,729.6546854942234,711.0
36,622,9363.638263665594,9234.5,1323.5946660328486,11942.349999999999,12711.039999999997,14075,1090.3183279742766,1077.5
37,780,7114.170512820513,7102.5,1890.9912745470517,10371.449999999993,12822.730000000003,16481,781.0910256410257,771.5
38,779,6004.643132220795,5903.0,1811.5706491756546,9577.199999999999,11046.460000000001,13244,535.3453145057766,535.0
39,779,4852.571245186136,4391.0,1864.5306530848238,8337.499999999998,10387.940000000004,13343,629.6161745827984,602.0
40,776,4902.3389175257735,4865.0,1125.8411678870502,6785.25,8038.75,9971,663.8208762886597,654.0
41,622,5335.059485530546,5187.5,1377.7957499211793,8010.399999999996,9157.889999999996,11205,397.959807073955,394.0
42,779,10178.136071887035,9631.0,2487.339190543346,14839.599999999999,17830.78000000001,21915,1100.0487804878048,1080.0
43,779,6822.9139922978175,6554.0,1963.712854219552,10456.3,12224.820000000002,14531,610.1591784338896,611.0
44,784,5478.5,5159.0,1585.82126854997,8525.699999999997,9829.729999999998,12037,640.0586734693877,633.0
45,779,5348.469833119384,5340.0,1321.448189986602,7771.899999999998,8874.180000000002,12290,415.38125802310657,413.0
46,622,5352.290996784566,5098.0,1578.7542033734119,8357.95,9555.689999999999,12250,660.5016077170418,656.0
47,784,7145.102040816327,6862.0,1745.3600146931933,10454.699999999993,12220.419999999998,13635,920.6505102040817,901.0
48,784,3934.966836734694,3840.0,905.3725079817355,5615.549999999999,6230.0099999999975,7329,429.2334183673469,426.5
49,777,7304.113256113256,7041.0,1811.9482445050064,10596.199999999999,13287.68,17743,531.7078507078508,519.0
50,779,4256.070603337613,4198.0,1181.059842281453,6469.299999999994,7547.700000000003,9205,358.7997432605905,357.0
51,622,6675.286173633441,6583.5,1516.2807743197864,9491.899999999996,11275.499999999998,14412,496.9871382636656,488.5
52,622,7407.945337620578,7178.0,1995.8422871084854,10771.299999999987,13609.629999999994,19202,503.4983922829582,496.0
53,784,5264.807397959184,5143.0,1479.465504394612,7865.899999999999,9867.07999999999,11947,566.7091836734694,564.5
54,785,7907.538853503184,7984.0,2081.5791454093887,11588.199999999997,13866.15999999999,17163,730.4789808917197,710.0
55,780,4598.989743589744,4299.0,1533.8537787314715,7480.15,8581.1,10468,558.9641025641025,558.0
56,781,7321.754161331626,7238.0,1730.4316916555447,10301.0,11929.400000000003,14086,506.93854033290654,508.0
57,769,10605.50455136541,9759.0,3687.7729973511496,17804.399999999994,21943.759999999966,38037,989.8062418725617,946.0
58,623,6336.158908507223,5962.0,1789.0905876047868,9808.199999999999,11934.439999999995,15136,513.1476725521669,498.0
59,782,5501.312020460358,5386.5,1913.4280871368167,8835.65,10129.989999999998,13541,564.0153452685422,581.5
60,780,8033.087179487179,7460.5,2697.448807085022,13194.149999999998,15804.720000000001,20493,713.473076923077,703.0
61,777,4722.005148005148,4574.0,1192.8490725013266,6818.2,8206.120000000003,11237,571.7387387387388,565.0
62,779,6503.86649550706,6491.0,1831.510494555029,9641.099999999997,10714.18,11771,717.9833119383825,745.0
63,784,6956.3877551020405,6858.0,1858.9440204496022,10651.199999999997,12426.06,14082,638.8520408163265,635.0
64,779,10359.525032092426,10085.0,2644.0081093076624,15261.599999999999,18221.460000000006,22227,792.8536585365854,786.0
65,780,5112.8948717948715,4985.0,1757.783812774258,8293.8,10501.210000000006,12672,455.9,462.0
66,777,6114.360360360361,5991.0,1158.2185825316049,8215.4,9642.24,11750,524.056628056628,518.0
67,777,7828.930501930502,7401.0,2188.942863248343,11882.8,13513.84,17482,798.3230373230373,791.0
68,784,7563.252551020408,7135.5,1927.5124686299735,11493.049999999997,14225.019999999971,17306,1151.954081632653,1118.0
69,781,9426.451984635083,9042.0,2172.9050244886403,13282.0,16419.20000000004,20324,1183.663252240717,1153.0
70,782,6608.028132992327,6296.0,1677.9831918220239,9995.75,11330.029999999992,15012,679.0971867007672,658.5
71,779,9061.09756097561,8514.0,2583.332567633143,14112.199999999993,16019.000000000002,20126,746.9204107830552,725.0
72,623,4420.025682182985,3960.0,1773.281547381775,7972.099999999999,9311.979999999994,12733,474.86035313001605,460.0
73,784,4576.978316326531,4528.0,1356.5547002246653,6934.65,8064.179999999994,10002,494.13520408163265,512.0
74,776,6256.630154639175,5832.5,1706.9473423306074,9511.75,11571.0,14983,854.2229381443299,823.0
75,784,6023.4540816326535,5847.0,1289.8346228143537,8568.599999999993,10222.129999999992,13876,642.140306122449,631.0
76,623,8999.54735152488,8573.0,2068.1852516867093,13218.099999999999,15032.699999999999,20167,928.0963081861959,896.0
77,781,7621.489116517286,7428.0,1958.089885301454,11448.0,12957.400000000003,15892,662.8335467349552,655.0
78,780,3717.473076923077,3588.0,1091.6862205561931,5829.999999999997,6753.830000000001,8360,494.85897435897436,487.0
79,777,5474.240669240669,5058.0,1547.2317373174697,8475.0,9790.160000000002,12779,560.4877734877734,548.0
80,779,7616.2734274711165,7616.0,1774.0271865336078,10908.399999999994,12200.000000000007,14315,577.7458279845956,574.0
81,622,6985.688102893891,6814.0,1320.2906730488223,9275.699999999999,10532.069999999992,11371,561.4983922829582,550.0
82,779,9019.653401797175,8668.0,2796.89060145863,14161.699999999997,16785.440000000002,21882,838.5596919127086,844.0
83,779,3887.7060333761233,3725.0,886.0038050264756,5614.599999999998,6059.66,7344,345.8395378690629,342.0
84,779,12955.997432605905,12213.0,2947.7899259096084,18638.199999999993,21672.200000000008,26729,1392.3106546854942,1356.0
85,942,7272.454352441614,6622.0,2272.8611647237985,12419.049999999997,13724.880000000001,15386,1015.4012738853503,929.5
86,778,4695.021850899743,4374.0,1369.596437770384,7305.0,8120.310000000003,10702,604.9601542416452,581.0
87,784,5865.161989795918,5838.5,1631.6790451227976,8814.349999999997,9746.049999999997,11620,737.4477040816327,759.0
88,780,6024.433333333333,5949.0,2463.730831311943,10347.1,11509.160000000022,16525,613.4910256410257,644.0
89,622,5971.33922829582,5846.5,1271.0736085031504,8316.449999999999,9153.58,11209,624.1752411575562,630.0
90,778,8416.768637532134,7909.5,2017.9997316158106,12443.65,14162.75,18470,1057.060411311054,1027.5
91,778,5559.002570694088,5335.0,1664.112031080913,8720.35,10608.84,13735,613.9305912596401,600.0
92,779,5996.684210526316,5719.0,1836.8827764983066,9557.2,11030.26,13253,547.0577663671373,538.0
93,779,5965.175866495507,5968.0,1952.2198961735323,9265.099999999999,11013.42,13780,603.5545571245186,612.0
94,779,7121.14377406932,6641.0,1993.796303311044,11145.399999999998,12354.12000000001,16621,640.1437740693196,620.0
95,780,7638.54358974359,7303.5,2434.299184685851,12201.8,14119.360000000004,19584,843.7192307692308,839.0
96,780,5176.888461538461,4861.5,2257.3803751860046,9217.299999999997,10438.600000000002,14954,542.774358974359,550.0
97,780,6703.3961538461535,6500.5,2000.3082248335925,10541.749999999996,12194.030000000006,15488,688.8307692307692,687.0
98,779,5109.863928112965,4957.0,1299.448767636714,7532.0999999999985,9124.180000000008,10866,451.5853658536585,442.0
99,622,5130.520900321543,4971.5,1346.8221733217795,7559.449999999999,8810.059999999992,10575,465.5209003215434,456.5
100,606,7964.412541254125,7754.0,1672.2694950991465,10766.25,12576.950000000012,22609,686.2194719471947,670.0
101,784,7469.877551020408,7273.5,1673.1916275594351,10557.949999999999,12100.02,14101,777.155612244898,766.0
102,769,7079.5266579973995,6562.0,2344.286006404141,11683.199999999997,13291.159999999989,17533,1051.7139141742523,1017.0
103,631,4689.497622820919,4555.0,1207.662946872308,6592.5,7938.900000000004,19373,421.6164817749604,416.0
104,784,10126.536989795919,9915.0,1418.1354436586957,12452.4,13743.85,15536,1312.3775510204082,1298.0
105,754,4441.3673740053055,4271.0,1723.2528605222187,7295.250000000001,8626.040000000006,22125,515.0490716180371,528.0
106,775,8668.81935483871,8567.0,2070.4416519167676,11822.5,14706.879999999997,32221,825.6477419354839,839.0
107,784,7336.589285714285,7134.5,1261.9031572291015,9783.85,10531.23,12079,955.3112244897959,941.0
108,622,11035.360128617363,10642.0,2334.7618475106365,15645.099999999999,17456.539999999994,19996,848.7813504823151,834.0
109,784,6464.323979591837,6137.0,1477.5683579794713,9282.699999999997,10859.119999999995,14783,742.3762755102041,727.0
110,784,4534.429846938776,4410.0,1228.5002091615886,6849.199999999995,7781.149999999996,10064,587.4387755102041,590.0
111,781,6771.745198463508,6618.0,1692.2639752461846,9838.0,11485.400000000038,15498,597.6747759282971,592.0
112,784,6229.448979591837,6075.5,904.9735501022415,8005.049999999999,9119.609999999999,12471,775.9936224489796,763.0
113,622,7199.077170418006,6917.0,1714.428092646756,10332.95,12583.319999999996,15662,699.3135048231511,686.0
114,784,5346.559948979592,5187.5,1256.1082863562644,7669.299999999998,9295.449999999997,11859,608.125,601.5
115,622,7371.689710610933,7152.5,1693.1385919791662,10488.899999999998,11760.339999999991,14323,552.0450160771704,530.0
116,783,7294.54533844189,7096.0,1420.4604374637106,10076.3,11412.499999999998,12473,758.2477650063857,759.0
117,779,3881.956354300385,3786.0,1091.6748720980252,5874.499999999998,6456.760000000003,7612,492.06546854942235,503.0
118,782,7781.606138107417,7425.0,2293.5151793622035,12413.449999999999,14351.619999999983,17192,675.5460358056266,662.5
119,784,6005.085459183673,5759.5,1391.7458670533454,8726.4,9849.619999999997,12147,664.9642857142857,663.0
120,781,7110.102432778489,6767.0,1724.7375689657147,10323.0,11890.00000000001,15378,638.1959026888604,622.0
121,780,4453.171794871795,4462.0,1381.4396376151165,6688.549999999999,7936.060000000003,10055,504.1128205128205,523.0
122,885,6462.014689265537,6176.0,2254.824549165973,10549.8,12603.559999999996,16064,793.780790960452,780.0
123,768,8399.204427083334,8001.0,3243.6659457784885,13594.849999999999,17060.83000000001,29501,959.77734375,970.5
124,779,4424.1463414634145,4401.0,1270.4591235952123,6540.599999999999,7787.720000000001,9873,525.6829268292682,529.0
125,784,11836.848214285714,11418.0,2741.774909400014,17058.85,19180.26999999999,23214,1573.9413265306123,1561.0
126,779,6507.75353016688,5919.0,3049.5367385288655,10761.399999999976,20384.32000000001,33071,543.8125802310655,529.0
127,623,5238.154093097914,5164.0,1513.1183273888942,8051.299999999999,9434.179999999998,12410,659.7479935794543,667.0
128,781,7454.672215108835,7129.0,2146.6927532916056,11501.0,14290.000000000015,17309,594.6824583866837,584.0
129,622,9208.120578778135,8768.5,2031.709143804463,13107.199999999999,15471.009999999991,18632,1165.4630225080386,1144.5
130,781,5121.062740076824,4953.0,964.2089623010739,6925.0,8093.400000000001,9141,573.7451984635084,574.0
131,779,5275.404364569961,5057.0,1299.7985980162819,7877.399999999999,9075.160000000007,11999,558.8973042362003,543.0
132,622,6283.255627009647,6094.5,1591.170509893406,9171.899999999998,11037.279999999995,11969,582.4051446945338,577.0
133,782,6467.759590792839,6276.5,2163.862890282669,10265.199999999997,12076.609999999988,14962,758.8273657289003,760.5
134,784,4725.8915816326535,4758.5,980.9219252720819,6419.949999999995,6932.329999999998,7979,494.5969387755102,511.0
135,781,5952.416133162612,5906.0,1366.0874365513678,8328.0,10295.000000000011,12623,539.7810499359795,534.0
136,622,5488.818327974276,5049.5,1793.8788030908995,9130.75,11292.43,13341,423.98070739549837,404.0
137,622,8274.98231511254,8054.0,1714.8325959739987,11270.75,12834.38,15672,957.2813504823151,957.0
138,780,7334.917948717949,7139.0,2728.3053152333555,11945.099999999999,14423.800000000025,18929,714.4435897435898,745.5
139,622,6464.1495176848875,6207.0,1686.4925628071874,9309.8,11512.009999999998,12613,513.8151125401929,520.0
140,781,7469.049935979513,7181.0,1624.092283381427,10532.0,12391.2,15129,963.6120358514725,949.0
141,777,5540.741312741313,5235.0,1463.0938987119987,8431.599999999999,9566.720000000001,11898,611.8983268983269,597.0
142,779,4603.965340179718,4515.0,1065.165393860443,6491.799999999999,7132.1600000000035,8731,568.7355584082156,576.0
143,779,6314.756097560976,5954.0,1857.946514009063,9993.2,11343.580000000007,14382,582.0423620025674,560.0
144,625,7718.2064,7525.0,1896.27291510181,10766.0,13812.559999999987,20637,728.8896,725.0
145,608,8342.263157894737,7833.0,2070.3650403144075,12107.699999999999,14225.60999999998,15301,1267.7861842105262,1246.5
146,779,7812.83055198973,7395.0,2031.9104316132612,11789.4,13786.40000000001,17817,702.4223363286264,684.0
147,779,8212.558408215662,7977.0,1991.0660364634805,12221.399999999996,13851.220000000003,17818,879.6161745827984,870.0
148,784,8638.96556122449,8320.0,1576.8211956666635,11656.149999999998,12956.36,15340,819.4770408163265,812.0
149,622,5567.483922829582,5312.0,1497.3443358585164,8276.849999999999,9600.169999999998,12186,486.21864951768487,478.5
150,784,8417.24107142857,8039.0,2151.460751040159,12649.899999999998,14459.57,18677,820.3966836734694,802.0
151,780,6755.764102564102,6479.5,1858.2341903763204,10555.499999999998,12246.390000000007,13763,652.0076923076923,635.0
152,779,5541.939666238768,5181.0,1860.535135365206,8878.4,9936.060000000001,11485,621.403080872914,617.0
153,779,7066.812580231065,6493.0,2601.5007955011665,11896.099999999997,13617.22000000001,18815,633.8793324775353,626.0
154,781,8737.57362355954,8291.0,2289.9203823962216,13201.0,15933.800000000001,20369,737.4302176696543,716.0
155,623,6886.852327447833,6847.0,1627.503682144064,9767.599999999999,11478.16,13599,660.3081861958267,653.0
156,782,6961.611253196931,6703.0,2815.318761405872,11815.8,13947.449999999997,20640,712.6202046035805,726.0
157,779,9722.790757381257,9202.0,2425.040825165442,14387.499999999998,16302.320000000005,21214,989.8305519897305,970.0
158,779,8156.865211810013,8060.0,1646.702943653333,10868.5,12698.300000000007,14912,519.9845956354301,508.0
159,623,7748.60834670947,7309.0,2090.5946939412643,12049.3,13513.379999999997,16375,695.9727126805778,678.0
160,781,5730.658130601792,5476.0,1409.864402336436,8309.0,9977.400000000007,13006,559.1843790012804,546.0
161,779,7252.598202824133,7026.0,1400.0300479870737,9955.1,11208.000000000011,13432,819.2182284980745,806.0
162,781,7768.131882202305,7479.0,2167.96947401874,11936.0,14124.400000000009,17275,555.6952624839948,548.0
163,784,7298.706632653061,6998.5,1517.62768699338,10090.899999999994,12154.36,14612,870.8048469387755,852.0
164,623,6210.218298555377,5764.0,1986.1573882546786,9883.9,11725.46,15243,633.4333868378812,624.0
165,622,3996.8344051446948,3836.5,931.8986125453653,5631.9,6421.559999999998,7341,422.65434083601286,420.5
166,779,5819.24646983312,5558.0,1527.92436482452,8613.999999999998,11060.320000000014,16335,817.2682926829268,793.0
167,780,9295.779487179487,8773.0,3220.269054864011,14916.8,18462.080000000045,24835,1055.1846153846154,1043.0
168,777,7517.148005148005,7184.0,2287.1990884215916,11712.399999999996,13611.720000000001,17276,731.2445302445302,737.0
169,766,7218.92819843342,7058.0,1975.1029793789285,10734.25,12470.250000000002,22609,687.9164490861618,690.5
170,779,5009.441591784339,4771.0,1327.2506054941578,7549.5,8851.200000000003,11031,543.7625160462131,535.0
171,779,8429.147625160462,7891.0,2513.83353182677,13691.5,15405.820000000002,18948,867.2451861360719,853.0
172,622,6981.672025723473,6809.0,1316.5673081163459,9295.95,11410.43,12774,868.9019292604502,848.0
173,784,8232.783163265307,7922.5,1910.683695790886,11806.4,13141.619999999997,15715,1006.5369897959183,990.0
174,622,5936.540192926045,5818.5,1028.587343643067,7681.849999999999,8994.96999999999,11495,479.5225080385852,473.0
175,784,5784.548469387755,5717.0,1229.9287014597799,8014.599999999997,8902.179999999998,9887,690.7079081632653,684.5
176,779,5278.177150192554,5019.0,1784.8958419249338,8939.3,10256.380000000001,13031,631.9987163029525,629.0
177,780,3994.096153846154,3986.5,1431.4024747281405,6504.499999999998,7252.920000000002,7882,485.2769230769231,513.5
178,780,10089.92564102564,9459.0,2946.7436111307106,16046.699999999999,18061.950000000015,23776,923.5653846153846,909.0
179,779,7295.274711168165,6741.0,2078.7266504807176,11289.599999999982,13526.960000000003,17557,955.8318356867779,928.0
180,784,7220.061224489796,7054.0,1560.1221883989226,10230.8,11815.68,12799,843.2385204081633,841.0
181,623,6382.698234349919,5864.0,2229.5422443636303,10293.3,12349.559999999985,17116,668.7897271268058,672.0
182,781,5304.654289372599,5161.0,1382.4634527826229,7971.0,9144.400000000005,11362,417.79385403329064,410.0
183,611,4821.335515548281,4634.0,1671.590256003572,7618.0,10410.299999999983,18797,601.0360065466449,603.0
184,777,6594.2972972972975,6310.0,1665.884282037498,10004.8,11191.12,13595,595.6679536679536,577.0
185,784,7170.617346938776,6891.0,1877.1025439941543,10717.699999999997,12428.229999999987,14284,545.2283163265306,533.0
186,622,3783.83922829582,3647.5,923.012994818377,5418.849999999999,6464.859999999995,7693,381.0594855305466,375.5
187,784,6279.7334183673465,6067.0,1712.3733998880725,9266.55,11345.009999999998,14524,775.7079081632653,781.0
188,779,4986.952503209242,4803.0,1491.3854953313053,7936.099999999997,9000.98,10460,438.2400513478819,433.0
189,779,8762.929396662388,8553.0,1945.8609599535841,12257.799999999997,13747.540000000019,17344,837.1258023106546,828.0
190,622,7198.954983922829,6939.0,1516.720269127397,10155.949999999999,11213.159999999993,13263,656.104501607717,645.5
191,622,6838.9372990353695,6761.0,1247.7888453193837,8985.8,9694.23,10400,713.8585209003215,706.0
192,622,9016.834405144695,8453.0,3350.5095355867193,15616.949999999995,18140.429999999997,19392,645.4131832797427,615.0
193,777,5362.036036036036,4793.0,1716.9086577060284,8405.4,9881.280000000002,14140,781.6589446589446,743.0
194,777,4829.492921492922,4681.0,1047.370707895026,6866.799999999993,8255.64,10858,417.6499356499356,409.0
195,779,10713.17971758665,10527.0,2482.9333429745825,15467.1,17211.420000000006,19545,1298.4403080872914,1289.0
196,782,5216.3363171355495,4986.5,1416.9966519317918,8016.049999999997,9287.509999999993,11638,696.8529411764706,689.5
197,784,6846.668367346939,6554.0,1762.7728461129043,10118.3,11642.409999999993,14499,842.280612244898,816.0
198,782,2900.6048593350383,2526.0,1597.7619041355008,5877.049999999993,6945.069999999997,10676,338.4782608695652,340.0
199,779,7955.697047496791,7641.0,2087.6449925796,11947.599999999999,13682.400000000005,17717,624.5827984595635,612.0
200,779,7729.5442875481385,7487.0,1469.1363302432887,10470.899999999996,11866.98,13137,967.6534017971759,953.0
201,779,5249.351732991014,5197.0,1280.617723105365,7484.5999999999985,8729.320000000003,12815,444.21566110397947,445.0
202,781,6065.797695262484,5891.0,1362.9468564031754,8567.0,9961.800000000003,11292,509.39180537772086,504.0
203,782,6775.240409207161,6302.0,1820.5629565112797,10091.199999999993,12744.80999999997,14925,882.5498721227622,854.5
204,622,5486.247588424438,5329.0,1044.2747461106906,7497.65,8228.049999999996,10043,524.1784565916398,524.0
205,784,6536.820153061224,6146.5,1663.154467014849,9860.0,11256.139999999998,12677,879.1862244897959,857.5
206,779,7157.551989730424,6896.0,2141.927788515268,10891.4,13708.360000000004,16005,799.9050064184852,812.0
207,784,11184.206632653062,10431.0,3256.122441561237,17819.85,20129.12,26807,1300.3813775510205,1270.0
208,784,2936.2908163265306,2927.5,716.5256100102845,4122.3499999999985,5022.719999999996,5864,413.4719387755102,412.5
209,882,5587.78231292517,5598.0,1891.5684986332549,8937.249999999998,10010.369999999999,12982,577.1916099773242,587.0
210,779,3193.98459563543,3116.0,849.2890008473813,4781.7999999999965,5431.800000000001,6221,326.25930680359437,325.0
211,784,12994.345663265307,12582.0,3176.586689807334,19014.399999999994,20940.109999999993,26914,1485.8048469387754,1493.0
212,784,4775.656887755102,4562.0,1255.2042898774291,7013.149999999994,8589.23,11173,460.7576530612245,461.0
213,779,8131.0410783055195,7659.0,2173.4899200957225,12451.999999999985,14378.540000000012,19814,652.6662387676508,635.0
214,779,9331.875481386392,9231.0,2284.7326110537438,13474.499999999998,15524.800000000016,19712,715.4505776636714,705.0
215,621,6313.492753623188,6202.0,1813.894440333618,9650.0,11219.8,12712,490.28341384863126,489.0
216,776,7226.775773195876,6927.5,1872.6365994309836,10864.75,12508.25,15530,887.6726804123712,862.0
217,784,4700.8877551020405,4533.5,996.8555825790877,6661.699999999994,7686.399999999995,8897,642.8801020408164,631.5
218,622,5018.577170418006,5099.5,1503.0231680827771,7220.7,8045.349999999998,9990,696.3987138263666,731.0
219,779,3133.712451861361,3138.0,822.2665440080124,4495.799999999997,4907.920000000001,5801,406.4441591784339,418.0
220,776,4906.432989690722,4652.0,1283.8297005522002,7173.5,8328.75,13582,644.6237113402062,631.0
221,784,5821.838010204082,5608.0,1412.3356037097299,8451.899999999998,10173.72,12805,552.75,542.0
222,784,4982.456632653061,4793.0,1449.6850904465334,7654.999999999996,9024.06,9696,561.5637755102041,569.0
223,782,7232.875959079284,6829.5,2077.852237733489,11251.399999999998,13229.53999999999,16339,738.7161125319693,722.0
224,777,6629.749034749035,6382.0,1768.4945662928785,9910.599999999999,12230.960000000003,14763,478.66023166023166,467.0
225,782,5197.0,4967.5,1470.3604120613543,8008.399999999994,9528.369999999999,12058,556.3260869565217,548.5
226,781,7257.290653008963,6992.0,1653.4176636714412,10374.0,11518.800000000001,13218,703.01152368758,696.0
227,767,6028.297262059974,5780.0,1878.5510610748927,8918.499999999998,10764.760000000004,21751,561.8878748370274,560.0
228,779,7946.139922978177,7832.0,1549.4387846037803,10784.5,12216.200000000003,14028,593.1168164313223,586.0
229,779,8645.36328626444,8274.0,2234.164712299383,12805.0,15287.200000000008,19096,734.2516046213094,708.0
230,784,7561.640306122449,7294.5,1662.8143749915623,10970.099999999999,13015.389999999994,14417,940.2270408163265,920.0
231,622,4770.279742765273,4720.0,1287.8093655023692,7161.099999999998,8191.699999999992,9492,394.5016077170418,393.5
232,765,3376.759477124183,3226.0,1062.293377349184,5147.799999999998,6483.120000000001,12799,304.23267973856207,297.0
233,781,9431.089628681179,9109.0,1800.2762372530324,12804.0,14151.400000000001,16271,1031.6658130601793,1015.0
234,779,11072.315789473685,10247.0,3506.84744140227,18362.099999999995,21235.5,26914,1024.721437740693,990.0
235,781,5935.44814340589,5555.0,1947.2437756960305,9775.0,11283.600000000002,14597,501.12932138284253,492.0
236,784,7119.563775510204,7069.0,1967.0679611400265,10572.949999999997,11794.729999999998,13902,864.7882653061224,882.5
237,784,4535.991071428572,4462.0,759.0343304902016,5866.25,6551.209999999999,7311,574.7308673469388,583.0
238,765,7671.733333333334,7503.0,1888.1087554087835,11262.999999999998,12679.880000000005,14325,1102.797385620915,1107.0
239,779,5071.210526315789,4921.0,1385.3617150714522,7620.0999999999985,8837.360000000004,10371,472.0680359435173,471.0
240,784,4812.035714285715,4688.5,989.7244059558053,6590.299999999998,7589.859999999998,8711,459.75382653061223,458.0
241,779,6583.227214377407,6356.0,1458.1986769535968,9230.3,10707.36000000001,13103,704.7188703465982,693.0
242,781,4093.0947503201023,3742.0,1446.175061657331,7059.0,8253.800000000003,11580,365.84635083226635,349.0
243,623,7074.07062600321,6466.0,2092.9666797001664,11105.699999999999,12100.36,17634,953.4670947030497,917.0
244,779,5271.098844672657,5051.0,1700.8712493680057,8388.899999999996,10253.120000000006,14806,540.3427471116817,536.0
245,781,8897.663252240716,8688.0,1539.2126718800353,11722.0,12984.600000000008,15249,1020.7567221510883,1011.0
246,784,7081.054846938776,6868.0,1474.6213881424899,9895.799999999996,11503.4,13179,937.2997448979592,923.5
247,781,8576.710627400767,8187.0,2445.7676301667616,13168.0,16317.800000000007,21985,683.966709346991,663.0
248,784,8362.170918367347,7810.0,2257.5775834868327,12619.599999999999,17066.539999999997,22394,1112.5357142857142,1075.5
249,784,5285.823979591837,5076.0,1274.3029215110603,7696.3499999999985,9504.419999999991,12728,537.734693877551,522.0
250,781,8470.623559539052,8061.0,2481.2941312555445,13185.0,15147.800000000003,17742,657.9385403329065,644.0
251,779,19123.068035943517,18566.0,3547.6416119632604,25357.6,30195.820000000018,35350,2450.4929396662387,2387.0
252,779,10615.512195121952,10052.0,2889.075660665812,16675.199999999997,18731.4,25316,809.630295250321,789.0
