Store,Date,YearMonth
20,2014-09-12,2014-09
20,2014-09-13,2014-09
20,2014-09-14,2014-09
20,2014-09-15,2014-09
20,2014-09-16,2014-09
20,2014-09-17,2014-09
20,2014-09-18,2014-09
20,2014-09-19,2014-09
20,2014-09-20,2014-09
20,2014-09-21,2014-09
20,2014-09-22,2014-09
20,2014-09-23,2014-09
20,2014-09-24,2014-09
20,2014-09-25,2014-09
20,2014-09-26,2014-09
20,2014-09-27,2014-09
20,2014-09-28,2014-09
20,2014-09-29,2014-09
20,2014-09-30,2014-09
20,2014-10-01,2014-10
20,2014-10-02,2014-10
20,2014-10-03,2014-10
20,2014-10-04,2014-10
20,2014-10-05,2014-10
20,2014-10-06,2014-10
20,2014-10-07,2014-10
20,2014-10-08,2014-10
20,2014-10-09,2014-10
20,2014-10-10,2014-10
20,2014-10-11,2014-10
20,2014-10-12,2014-10
20,2014-10-13,2014-10
20,2014-10-14,2014-10
20,2014-10-15,2014-10
20,2014-10-16,2014-10
20,2014-10-17,2014-10
20,2014-10-18,2014-10
20,2014-10-19,2014-10
20,2014-10-20,2014-10
20,2014-10-21,2014-10
20,2014-10-22,2014-10
20,2014-10-23,2014-10
20,2014-10-24,2014-10
20,2014-10-25,2014-10
20,2014-10-26,2014-10
20,2014-10-27,2014-10
20,2014-10-28,2014-10
20,2014-10-29,2014-10
20,2014-10-30,2014-10
20,2014-10-31,2014-10
20,2014-11-01,2014-11
20,2014-11-02,2014-11
20,2014-11-03,2014-11
20,2014-11-04,2014-11
20,2014-11-05,2014-11
20,2014-11-06,2014-11
20,2014-11-07,2014-11
20,2014-11-08,2014-11
20,2014-11-09,2014-11
20,2014-11-10,2014-11
20,2014-11-11,2014-11
20,2014-11-12,2014-11
20,2014-11-13,2014-11
20,2014-11-14,2014-11
20,2014-11-15,2014-11
20,2014-11-16,2014-11
20,2014-11-17,2014-11
20,2014-11-18,2014-11
20,2014-11-19,2014-11
20,2014-11-20,2014-11
20,2014-11-21,2014-11
20,2014-11-22,2014-11
20,2014-11-23,2014-11
20,2014-11-24,2014-11
20,2014-11-25,2014-11
20,2014-11-26,2014-11
20,2014-11-27,2014-11
20,2014-11-28,2014-11
20,2014-11-29,2014-11
20,2014-11-30,2014-11
20,2014-12-01,2014-12
20,2014-12-02,2014-12
20,2014-12-03,2014-12
20,2014-12-04,2014-12
20,2014-12-05,2014-12
20,2014-12-06,2014-12
20,2014-12-07,2014-12
20,2014-12-08,2014-12
20,2014-12-09,2014-12
20,2014-12-10,2014-12
20,2014-12-11,2014-12
20,2014-12-12,2014-12
20,2014-12-13,2014-12
20,2014-12-14,2014-12
20,2014-12-15,2014-12
20,2014-12-16,2014-12
20,2014-12-17,2014-12
20,2014-12-18,2014-12
20,2014-12-19,2014-12
20,2014-12-20,2014-12
20,2014-12-21,2014-12
20,2014-12-22,2014-12
20,2014-12-23,2014-12
20,2014-12-24,2014-12
20,2014-12-25,2014-12
20,2014-12-26,2014-12
20,2014-12-27,2014-12
20,2014-12-28,2014-12
20,2014-12-29,2014-12
20,2014-12-30,2014-12
20,2014-12-31,2014-12
22,2014-07-01,2014-07
22,2014-07-02,2014-07
22,2014-07-03,2014-07
22,2014-07-04,2014-07
22,2014-07-05,2014-07
22,2014-07-06,2014-07
22,2014-07-07,2014-07
22,2014-07-08,2014-07
22,2014-07-09,2014-07
22,2014-07-10,2014-07
22,2014-07-11,2014-07
22,2014-07-12,2014-07
22,2014-07-13,2014-07
22,2014-07-14,2014-07
22,2014-07-15,2014-07
22,2014-07-16,2014-07
22,2014-07-17,2014-07
22,2014-07-18,2014-07
22,2014-07-19,2014-07
22,2014-07-20,2014-07
22,2014-07-21,2014-07
22,2014-07-22,2014-07
22,2014-07-23,2014-07
22,2014-07-24,2014-07
22,2014-07-25,2014-07
22,2014-07-26,2014-07
22,2014-07-27,2014-07
22,2014-07-28,2014-07
22,2014-07-29,2014-07
22,2014-07-30,2014-07
22,2014-07-31,2014-07
22,2014-08-01,2014-08
22,2014-08-02,2014-08
22,2014-08-03,2014-08
22,2014-08-04,2014-08
22,2014-08-05,2014-08
22,2014-08-06,2014-08
22,2014-08-07,2014-08
22,2014-08-08,2014-08
22,2014-08-09,2014-08
22,2014-08-10,2014-08
22,2014-08-11,2014-08
22,2014-08-12,2014-08
22,2014-08-13,2014-08
22,2014-08-14,2014-08
22,2014-08-15,2014-08
22,2014-08-16,2014-08
22,2014-08-17,2014-08
22,2014-08-18,2014-08
22,2014-08-19,2014-08
22,2014-08-20,2014-08
22,2014-08-21,2014-08
22,2014-08-22,2014-08
22,2014-08-23,2014-08
22,2014-08-24,2014-08
22,2014-08-25,2014-08
22,2014-08-26,2014-08
22,2014-08-27,2014-08
22,2014-08-28,2014-08
22,2014-08-29,2014-08
22,2014-08-30,2014-08
22,2014-08-31,2014-08
22,2014-09-01,2014-09
22,2014-09-02,2014-09
22,2014-09-03,2014-09
22,2014-09-04,2014-09
22,2014-09-05,2014-09
22,2014-09-06,2014-09
22,2014-09-07,2014-09
22,2014-09-08,2014-09
22,2014-09-09,2014-09
22,2014-09-10,2014-09
22,2014-09-11,2014-09
22,2014-09-12,2014-09
22,2014-09-13,2014-09
22,2014-09-14,2014-09
22,2014-09-15,2014-09
22,2014-09-16,2014-09
22,2014-09-17,2014-09
22,2014-09-18,2014-09
22,2014-09-19,2014-09
22,2014-09-20,2014-09
22,2014-09-21,2014-09
22,2014-09-22,2014-09
22,2014-09-23,2014-09
22,2014-09-24,2014-09
22,2014-09-25,2014-09
22,2014-09-26,2014-09
22,2014-09-27,2014-09
22,2014-09-28,2014-09
22,2014-09-29,2014-09
22,2014-09-30,2014-09
22,2014-10-01,2014-10
22,2014-10-02,2014-10
22,2014-10-03,2014-10
22,2014-10-04,2014-10
22,2014-10-05,2014-10
22,2014-10-06,2014-10
22,2014-10-07,2014-10
22,2014-10-08,2014-10
22,2014-10-09,2014-10
22,2014-10-10,2014-10
22,2014-10-11,2014-10
22,2014-10-12,2014-10
22,2014-10-13,2014-10
22,2014-10-14,2014-10
22,2014-10-15,2014-10
22,2014-10-16,2014-10
22,2014-10-17,2014-10
22,2014-10-18,2014-10
22,2014-10-19,2014-10
22,2014-10-20,2014-10
22,2014-10-21,2014-10
22,2014-10-22,2014-10
22,2014-10-23,2014-10
22,2014-10-24,2014-10
22,2014-10-25,2014-10
22,2014-10-26,2014-10
22,2014-10-27,2014-10
22,2014-10-28,2014-10
22,2014-10-29,2014-10
22,2014-10-30,2014-10
22,2014-10-31,2014-10
22,2014-11-01,2014-11
22,2014-11-02,2014-11
22,2014-11-03,2014-11
22,2014-11-04,2014-11
22,2014-11-05,2014-11
22,2014-11-06,2014-11
22,2014-11-07,2014-11
22,2014-11-08,2014-11
22,2014-11-09,2014-11
22,2014-11-10,2014-11
22,2014-11-11,2014-11
22,2014-11-12,2014-11
22,2014-11-13,2014-11
22,2014-11-14,2014-11
22,2014-11-15,2014-11
22,2014-11-16,2014-11
22,2014-11-17,2014-11
22,2014-11-18,2014-11
22,2014-11-19,2014-11
22,2014-11-20,2014-11
22,2014-11-21,2014-11
22,2014-11-22,2014-11
22,2014-11-23,2014-11
22,2014-11-24,2014-11
22,2014-11-25,2014-11
22,2014-11-26,2014-11
22,2014-11-27,2014-11
22,2014-11-28,2014-11
22,2014-11-29,2014-11
22,2014-11-30,2014-11
22,2014-12-01,2014-12
22,2014-12-02,2014-12
22,2014-12-03,2014-12
22,2014-12-04,2014-12
22,2014-12-05,2014-12
22,2014-12-06,2014-12
22,2014-12-07,2014-12
22,2014-12-08,2014-12
22,2014-12-09,2014-12
22,2014-12-10,2014-12
22,2014-12-11,2014-12
22,2014-12-12,2014-12
22,2014-12-13,2014-12
22,2014-12-14,2014-12
22,2014-12-15,2014-12
22,2014-12-16,2014-12
22,2014-12-17,2014-12
22,2014-12-18,2014-12
22,2014-12-19,2014-12
22,2014-12-20,2014-12
22,2014-12-21,2014-12
22,2014-12-22,2014-12
22,2014-12-23,2014-12
22,2014-12-24,2014-12
22,2014-12-25,2014-12
22,2014-12-26,2014-12
22,2014-12-27,2014-12
22,2014-12-28,2014-12
22,2014-12-29,2014-12
22,2014-12-30,2014-12
22,2014-12-31,2014-12
32,2014-07-01,2014-07
32,2014-07-02,2014-07
32,2014-07-03,2014-07
32,2014-07-04,2014-07
32,2014-07-05,2014-07
32,2014-07-06,2014-07
32,2014-07-07,2014-07
32,2014-07-08,2014-07
32,2014-07-09,2014-07
32,2014-07-10,2014-07
32,2014-07-11,2014-07
32,2014-07-12,2014-07
32,2014-07-13,2014-07
32,2014-07-14,2014-07
32,2014-07-15,2014-07
32,2014-07-16,2014-07
32,2014-07-17,2014-07
32,2014-07-18,2014-07
32,2014-07-19,2014-07
32,2014-07-20,2014-07
32,2014-07-21,2014-07
32,2014-07-22,2014-07
32,2014-07-23,2014-07
32,2014-07-24,2014-07
32,2014-07-25,2014-07
32,2014-07-26,2014-07
32,2014-07-27,2014-07
32,2014-07-28,2014-07
32,2014-07-29,2014-07
32,2014-07-30,2014-07
32,2014-07-31,2014-07
32,2014-08-01,2014-08
32,2014-08-02,2014-08
32,2014-08-03,2014-08
32,2014-08-04,2014-08
32,2014-08-05,2014-08
32,2014-08-06,2014-08
32,2014-08-07,2014-08
32,2014-08-08,2014-08
32,2014-08-09,2014-08
32,2014-08-10,2014-08
32,2014-08-11,2014-08
32,2014-08-12,2014-08
32,2014-08-13,2014-08
32,2014-08-14,2014-08
32,2014-08-15,2014-08
32,2014-08-16,2014-08
32,2014-08-17,2014-08
32,2014-08-18,2014-08
32,2014-08-19,2014-08
32,2014-08-20,2014-08
32,2014-08-21,2014-08
32,2014-08-22,2014-08
32,2014-08-23,2014-08
32,2014-08-24,2014-08
32,2014-08-25,2014-08
32,2014-08-26,2014-08
32,2014-08-27,2014-08
32,2014-08-28,2014-08
32,2014-08-29,2014-08
32,2014-08-30,2014-08
32,2014-08-31,2014-08
32,2014-09-01,2014-09
32,2014-09-02,2014-09
32,2014-09-03,2014-09
32,2014-09-04,2014-09
32,2014-09-05,2014-09
32,2014-09-06,2014-09
32,2014-09-07,2014-09
32,2014-09-08,2014-09
32,2014-09-09,2014-09
32,2014-09-10,2014-09
32,2014-09-11,2014-09
32,2014-09-12,2014-09
32,2014-09-13,2014-09
32,2014-09-14,2014-09
32,2014-09-15,2014-09
32,2014-09-16,2014-09
32,2014-09-17,2014-09
32,2014-09-18,2014-09
32,2014-09-19,2014-09
32,2014-09-20,2014-09
32,2014-09-21,2014-09
32,2014-09-22,2014-09
32,2014-09-23,2014-09
32,2014-09-24,2014-09
32,2014-09-25,2014-09
32,2014-09-26,2014-09
32,2014-09-27,2014-09
32,2014-09-28,2014-09
32,2014-09-29,2014-09
32,2014-09-30,2014-09
32,2014-10-01,2014-10
32,2014-10-02,2014-10
32,2014-10-03,2014-10
32,2014-10-04,2014-10
32,2014-10-05,2014-10
32,2014-10-06,2014-10
32,2014-10-07,2014-10
32,2014-10-08,2014-10
32,2014-10-09,2014-10
32,2014-10-10,2014-10
32,2014-10-11,2014-10
32,2014-10-12,2014-10
32,2014-10-13,2014-10
32,2014-10-14,2014-10
32,2014-10-15,2014-10
32,2014-10-16,2014-10
32,2014-10-17,2014-10
32,2014-10-18,2014-10
32,2014-10-19,2014-10
32,2014-10-20,2014-10
32,2014-10-21,2014-10
32,2014-10-22,2014-10
32,2014-10-23,2014-10
32,2014-10-24,2014-10
32,2014-10-25,2014-10
32,2014-10-26,2014-10
32,2014-10-27,2014-10
32,2014-10-28,2014-10
32,2014-10-29,2014-10
32,2014-10-30,2014-10
32,2014-10-31,2014-10
32,2014-11-01,2014-11
32,2014-11-02,2014-11
32,2014-11-03,2014-11
32,2014-11-04,2014-11
32,2014-11-05,2014-11
32,2014-11-06,2014-11
32,2014-11-07,2014-11
32,2014-11-08,2014-11
32,2014-11-09,2014-11
32,2014-11-10,2014-11
32,2014-11-11,2014-11
32,2014-11-12,2014-11
32,2014-11-13,2014-11
32,2014-11-14,2014-11
32,2014-11-15,2014-11
32,2014-11-16,2014-11
32,2014-11-17,2014-11
32,2014-11-18,2014-11
32,2014-11-19,2014-11
32,2014-11-20,2014-11
32,2014-11-21,2014-11
32,2014-11-22,2014-11
32,2014-11-23,2014-11
32,2014-11-24,2014-11
32,2014-11-25,2014-11
32,2014-11-26,2014-11
32,2014-11-27,2014-11
32,2014-11-28,2014-11
32,2014-11-29,2014-11
32,2014-11-30,2014-11
32,2014-12-01,2014-12
32,2014-12-02,2014-12
32,2014-12-03,2014-12
32,2014-12-04,2014-12
32,2014-12-05,2014-12
32,2014-12-06,2014-12
32,2014-12-07,2014-12
32,2014-12-08,2014-12
32,2014-12-09,2014-12
32,2014-12-10,2014-12
32,2014-12-11,2014-12
32,2014-12-12,2014-12
32,2014-12-13,2014-12
32,2014-12-14,2014-12
32,2014-12-15,2014-12
32,2014-12-16,2014-12
32,2014-12-17,2014-12
32,2014-12-18,2014-12
32,2014-12-19,2014-12
32,2014-12-20,2014-12
32,2014-12-21,2014-12
32,2014-12-22,2014-12
32,2014-12-23,2014-12
32,2014-12-24,2014-12
32,2014-12-25,2014-12
32,2014-12-26,2014-12
32,2014-12-27,2014-12
32,2014-12-28,2014-12
32,2014-12-29,2014-12
32,2014-12-30,2014-12
32,2014-12-31,2014-12
36,2014-07-01,2014-07
36,2014-07-02,2014-07
36,2014-07-03,2014-07
36,2014-07-04,2014-07
36,2014-07-05,2014-07
36,2014-07-06,2014-07
36,2014-07-07,2014-07
36,2014-07-08,2014-07
36,2014-07-09,2014-07
36,2014-07-10,2014-07
36,2014-07-11,2014-07
36,2014-07-12,2014-07
36,2014-07-13,2014-07
36,2014-07-14,2014-07
36,2014-07-15,2014-07
36,2014-07-16,2014-07
36,2014-07-17,2014-07
36,2014-07-18,2014-07
36,2014-07-19,2014-07
36,2014-07-20,2014-07
36,2014-07-21,2014-07
36,2014-07-22,2014-07
36,2014-07-23,2014-07
36,2014-07-24,2014-07
36,2014-07-25,2014-07
36,2014-07-26,2014-07
36,2014-07-27,2014-07
36,2014-07-28,2014-07
36,2014-07-29,2014-07
36,2014-07-30,2014-07
36,2014-07-31,2014-07
36,2014-08-01,2014-08
36,2014-08-02,2014-08
36,2014-08-03,2014-08
36,2014-08-04,2014-08
36,2014-08-05,2014-08
36,2014-08-06,2014-08
36,2014-08-07,2014-08
36,2014-08-08,2014-08
36,2014-08-09,2014-08
36,2014-08-10,2014-08
36,2014-08-11,2014-08
36,2014-08-12,2014-08
36,2014-08-13,2014-08
36,2014-08-14,2014-08
36,2014-08-15,2014-08
36,2014-08-16,2014-08
36,2014-08-17,2014-08
36,2014-08-18,2014-08
36,2014-08-19,2014-08
36,2014-08-20,2014-08
36,2014-08-21,2014-08
36,2014-08-22,2014-08
36,2014-08-23,2014-08
36,2014-08-24,2014-08
36,2014-08-25,2014-08
36,2014-08-26,2014-08
36,2014-08-27,2014-08
36,2014-08-28,2014-08
36,2014-08-29,2014-08
36,2014-08-30,2014-08
36,2014-08-31,2014-08
36,2014-09-01,2014-09
36,2014-09-02,2014-09
36,2014-09-03,2014-09
36,2014-09-04,2014-09
36,2014-09-05,2014-09
36,2014-09-06,2014-09
36,2014-09-07,2014-09
36,2014-09-08,2014-09
36,2014-09-09,2014-09
36,2014-09-10,2014-09
36,2014-09-11,2014-09
36,2014-09-12,2014-09
36,2014-09-13,2014-09
36,2014-09-14,2014-09
36,2014-09-15,2014-09
36,2014-09-16,2014-09
36,2014-09-17,2014-09
36,2014-09-18,2014-09
36,2014-09-19,2014-09
36,2014-09-20,2014-09
36,2014-09-21,2014-09
36,2014-09-22,2014-09
36,2014-09-23,2014-09
36,2014-09-24,2014-09
36,2014-09-25,2014-09
36,2014-09-26,2014-09
36,2014-09-27,2014-09
36,2014-09-28,2014-09
36,2014-09-29,2014-09
36,2014-09-30,2014-09
36,2014-10-01,2014-10
36,2014-10-02,2014-10
36,2014-10-03,2014-10
36,2014-10-04,2014-10
36,2014-10-05,2014-10
36,2014-10-06,2014-10
36,2014-10-07,2014-10
36,2014-10-08,2014-10
36,2014-10-09,2014-10
36,2014-10-10,2014-10
36,2014-10-11,2014-10
36,2014-10-12,2014-10
36,2014-10-13,2014-10
36,2014-10-14,2014-10
36,2014-10-15,2014-10
36,2014-10-16,2014-10
36,2014-10-17,2014-10
36,2014-10-18,2014-10
36,2014-10-19,2014-10
36,2014-10-20,2014-10
36,2014-10-21,2014-10
36,2014-10-22,2014-10
36,2014-10-23,2014-10
36,2014-10-24,2014-10
36,2014-10-25,2014-10
36,2014-10-26,2014-10
36,2014-10-27,2014-10
36,2014-10-28,2014-10
36,2014-10-29,2014-10
36,2014-10-30,2014-10
36,2014-10-31,2014-10
36,2014-11-01,2014-11
36,2014-11-02,2014-11
36,2014-11-03,2014-11
36,2014-11-04,2014-11
36,2014-11-05,2014-11
36,2014-11-06,2014-11
36,2014-11-07,2014-11
36,2014-11-08,2014-11
36,2014-11-09,2014-11
36,2014-11-10,2014-11
36,2014-11-11,2014-11
36,2014-11-12,2014-11
36,2014-11-13,2014-11
36,2014-11-14,2014-11
36,2014-11-15,2014-11
36,2014-11-16,2014-11
36,2014-11-17,2014-11
36,2014-11-18,2014-11
36,2014-11-19,2014-11
36,2014-11-20,2014-11
36,2014-11-21,2014-11
36,2014-11-22,2014-11
36,2014-11-23,2014-11
36,2014-11-24,2014-11
36,2014-11-25,2014-11
36,2014-11-26,2014-11
36,2014-11-27,2014-11
36,2014-11-28,2014-11
36,2014-11-29,2014-11
36,2014-11-30,2014-11
36,2014-12-01,2014-12
36,2014-12-02,2014-12
36,2014-12-03,2014-12
36,2014-12-04,2014-12
36,2014-12-05,2014-12
36,2014-12-06,2014-12
36,2014-12-07,2014-12
36,2014-12-08,2014-12
36,2014-12-09,2014-12
36,2014-12-10,2014-12
36,2014-12-11,2014-12
36,2014-12-12,2014-12
36,2014-12-13,2014-12
36,2014-12-14,2014-12
36,2014-12-15,2014-12
36,2014-12-16,2014-12
36,2014-12-17,2014-12
36,2014-12-18,2014-12
36,2014-12-19,2014-12
36,2014-12-20,2014-12
36,2014-12-21,2014-12
36,2014-12-22,2014-12
36,2014-12-23,2014-12
36,2014-12-24,2014-12
36,2014-12-25,2014-12
36,2014-12-26,2014-12
36,2014-12-27,2014-12
36,2014-12-28,2014-12
36,2014-12-29,2014-12
36,2014-12-30,2014-12
36,2014-12-31,2014-12
41,2014-07-01,2014-07
41,2014-07-02,2014-07
41,2014-07-03,2014-07
41,2014-07-04,2014-07
41,2014-07-05,2014-07
41,2014-07-06,2014-07
41,2014-07-07,2014-07
41,2014-07-08,2014-07
41,2014-07-09,2014-07
41,2014-07-10,2014-07
41,2014-07-11,2014-07
41,2014-07-12,2014-07
41,2014-07-13,2014-07
41,2014-07-14,2014-07
41,2014-07-15,2014-07
41,2014-07-16,2014-07
41,2014-07-17,2014-07
41,2014-07-18,2014-07
41,2014-07-19,2014-07
41,2014-07-20,2014-07
41,2014-07-21,2014-07
41,2014-07-22,2014-07
41,2014-07-23,2014-07
41,2014-07-24,2014-07
41,2014-07-25,2014-07
41,2014-07-26,2014-07
41,2014-07-27,2014-07
41,2014-07-28,2014-07
41,2014-07-29,2014-07
41,2014-07-30,2014-07
41,2014-07-31,2014-07
41,2014-08-01,2014-08
41,2014-08-02,2014-08
41,2014-08-03,2014-08
41,2014-08-04,2014-08
41,2014-08-05,2014-08
41,2014-08-06,2014-08
41,2014-08-07,2014-08
41,2014-08-08,2014-08
41,2014-08-09,2014-08
41,2014-08-10,2014-08
41,2014-08-11,2014-08
41,2014-08-12,2014-08
41,2014-08-13,2014-08
41,2014-08-14,2014-08
41,2014-08-15,2014-08
41,2014-08-16,2014-08
41,2014-08-17,2014-08
41,2014-08-18,2014-08
41,2014-08-19,2014-08
41,2014-08-20,2014-08
41,2014-08-21,2014-08
41,2014-08-22,2014-08
41,2014-08-23,2014-08
41,2014-08-24,2014-08
41,2014-08-25,2014-08
41,2014-08-26,2014-08
41,2014-08-27,2014-08
41,2014-08-28,2014-08
41,2014-08-29,2014-08
41,2014-08-30,2014-08
41,2014-08-31,2014-08
41,2014-09-01,2014-09
41,2014-09-02,2014-09
41,2014-09-03,2014-09
41,2014-09-04,2014-09
41,2014-09-05,2014-09
41,2014-09-06,2014-09
41,2014-09-07,2014-09
41,2014-09-08,2014-09
41,2014-09-09,2014-09
41,2014-09-10,2014-09
41,2014-09-11,2014-09
41,2014-09-12,2014-09
41,2014-09-13,2014-09
41,2014-09-14,2014-09
41,2014-09-15,2014-09
41,2014-09-16,2014-09
