Store,Date,Sales,Customers,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,median_sales,p95_sales,p99_sales,maximum_sales,median_customers,sales_vs_store_median,sales_vs_store_p99,sales_per_customer,above_store_p99
972,2014-08-01,13993,1121,1,0,1,a,a,3295.5,6141.799999999996,6906.84,13993,392.0,4.2460931573357605,2.025962668890549,12.482604817127564,1
126,2013-10-14,25049,475,0,0,0,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,4.231964858928873,1.2288366744635086,52.734736842105264,1
198,2013-12-16,10676,779,1,0,0,a,a,2526.0,5877.049999999993,6945.069999999997,10676,340.0,4.226444972288203,1.5372055285259911,13.704749679075737,1
909,2015-06-22,41551,1721,0,0,0,a,c,9903.0,15898.4,19455.579999999954,41551,985.0,4.195799252751692,2.1356854948554655,24.14352120859965,1
303,2014-07-16,24580,1370,1,0,1,a,a,5862.5,9207.75,10795.550000000007,27318,663.5,4.192750533049041,2.2768640782544645,17.94160583941606,1
292,2015-06-30,23584,1322,1,0,0,a,a,5695.5,8633.0,9692.150000000001,29161,736.0,4.140812922482661,2.4333094308280407,17.83963691376702,1
956,2013-10-31,14852,716,0,0,1,a,a,3638.5,6288.25,8005.0,14852,497.5,4.081901882643947,1.8553404122423485,20.743016759776538,1
126,2013-09-09,24134,731,1,0,0,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,4.077377935462072,1.1839492315662228,33.015047879616965,1
183,2015-06-01,18797,1265,1,0,1,a,a,4634.0,7618.0,10410.299999999983,18797,603.0,4.056322831247303,1.8056155922499861,14.859288537549407,1
548,2014-08-18,19191,758,1,0,1,d,c,4731.5,7821.4,9522.040000000005,19191,386.5,4.056007608580789,2.0154294667949295,25.317941952506597,1
850,2014-03-31,23723,1715,1,0,0,d,a,5872.5,9422.449999999999,11039.419999999993,23723,637.0,4.039676458067262,2.1489353607345327,13.83265306122449,1
348,2013-06-14,33934,1694,0,0,0,a,a,8438.0,11801.799999999997,17232.43999999993,33934,721.0,4.021569092201943,1.9691929871800011,20.031877213695395,1
232,2013-01-25,12799,868,1,0,0,c,c,3226.0,5147.799999999998,6483.120000000001,12799,297.0,3.967451952882827,1.9742037784276705,14.745391705069125,1
357,2014-09-02,29169,1846,1,0,0,a,a,7378.0,11735.099999999999,13469.120000000004,29169,989.0,3.9535104364326377,2.165620322634292,15.801191765980498,1
264,2014-05-19,26919,1637,1,0,0,a,a,6830.0,11174.249999999998,13048.329999999998,26919,930.0,3.9412884333821374,2.0630226243511625,16.44410507025046,1
57,2014-06-16,38037,1970,1,0,0,d,c,9759.0,17804.399999999994,21943.759999999966,38037,946.0,3.8976329541961268,1.733385709650491,19.308121827411167,1
357,2014-09-01,28756,1876,1,0,0,a,a,7378.0,11735.099999999999,13469.120000000004,29169,989.0,3.8975332068311195,2.13495759188425,15.328358208955224,1
956,2013-08-15,14173,582,1,0,1,a,a,3638.5,6288.25,8005.0,14852,497.5,3.8952865191699875,1.77051842598376,24.352233676975946,1
543,2015-03-30,8754,507,1,0,1,c,a,2293.0,5045.0,6278.4000000000015,8754,230.0,3.817706061927606,1.3943042813455655,17.266272189349113,1
264,2014-05-20,25920,1585,1,0,0,a,a,6830.0,11174.249999999998,13048.329999999998,26919,930.0,3.79502196193265,1.9864611026851715,16.353312302839118,1
956,2013-08-08,13787,505,0,0,1,a,a,3638.5,6288.25,8005.0,14852,497.5,3.7891988456781642,1.7222985633978762,27.3009900990099,1
227,2014-09-12,21751,1569,0,0,0,a,a,5780.0,8918.499999999998,10764.760000000004,21751,560.0,3.7631487889273356,2.0205745413738896,13.862970044614404,1
106,2013-07-15,32221,1758,1,0,1,a,a,8567.0,11822.5,14706.879999999997,32221,839.0,3.7610598809384848,2.190879370743489,18.32821387940842,1
575,2014-06-30,17313,1143,1,0,0,a,a,4613.0,10301.399999999998,12223.139999999998,17313,470.0,3.75308909603295,1.4164118221668085,15.146981627296588,1
700,2013-06-07,15390,1302,1,0,0,a,c,4106.5,7245.25,8888.450000000003,15390,537.0,3.7477170339705346,1.7314604908617357,11.820276497695852,1
762,2013-01-21,13847,968,1,0,0,d,c,3695.5,6044.399999999998,7445.309999999994,13847,378.0,3.7469895819239616,1.8598285363537597,14.304752066115702,1
123,2014-08-18,29501,1729,1,0,1,a,a,8001.0,13594.849999999999,17060.83000000001,29501,970.5,3.687164104486939,1.7291655798692083,17.062463851937537,1
227,2014-08-19,21291,1027,1,0,1,a,a,5780.0,8918.499999999998,10764.760000000004,21751,560.0,3.6835640138408303,1.9778425157644008,20.731256085686464,1
28,2014-08-15,18474,1202,0,0,1,a,a,5049.5,9142.649999999998,11473.860000000055,18474,592.0,3.6585800574314287,1.6100945976332213,15.369384359400998,1
126,2013-09-03,21585,529,0,0,1,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,3.646730866700456,1.0589021365441667,40.80340264650284,1
227,2014-08-18,21076,1021,1,0,1,a,a,5780.0,8918.499999999998,10764.760000000004,21751,560.0,3.6463667820069205,1.9578699385773572,20.64250734573947,1
848,2014-08-27,22408,1220,0,0,1,a,c,6168.0,9941.899999999998,13122.92,22408,727.0,3.6329442282749675,1.7075467959874784,18.367213114754097,1
693,2014-06-30,19730,1138,1,0,0,d,a,5437.0,12449.0,14653.4,19730,442.0,3.6288394335111276,1.3464451936069446,17.33743409490334,1
897,2013-04-25,11805,244,1,0,0,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,3.6128538638102525,0.9245929989395126,48.381147540983605,0
126,2013-09-20,21242,496,0,0,0,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,3.588781888832573,1.042075477622015,42.82661290322581,1
708,2014-10-07,15375,1025,1,0,0,c,c,4288.0,7840.199999999994,12030.039999999995,24975,464.0,3.5855876865671643,1.2780506132980445,15.0,1
105,2013-04-30,15269,1198,1,0,0,a,c,4271.0,7295.250000000001,8626.040000000006,22125,528.0,3.5750409740107703,1.770105401783436,12.745409015025041,1
681,2013-05-13,12272,1044,1,0,0,a,c,3438.0,5381.75,6573.750000000003,12272,496.0,3.569517161140198,1.8668187868416042,11.754789272030651,1
575,2014-03-31,16456,1149,1,0,0,a,a,4613.0,10301.399999999998,12223.139999999998,17313,470.0,3.567309776717971,1.3462989051913015,14.322019147084422,1
623,2013-10-30,24888,833,0,0,1,a,a,6991.0,10708.25,12492.5,24888,841.5,3.5600057216421113,1.992235341204723,29.877551020408163,1
1100,2014-05-05,17444,1479,1,0,0,a,a,4900.0,9253.799999999996,10664.91999999999,17444,654.0,3.56,1.6356428365144808,11.794455713319811,1
57,2014-06-17,34692,1930,1,0,0,d,c,9759.0,17804.399999999994,21943.759999999966,38037,946.0,3.5548724254534276,1.580950575471116,17.975129533678757,1
543,2014-06-30,8135,492,1,0,0,c,a,2293.0,5045.0,6278.4000000000015,8754,230.0,3.547754034016572,1.2957122833843013,16.534552845528456,1
126,2013-09-12,20701,562,1,0,0,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,3.4973813144112182,1.0155354704007782,36.83451957295374,1
391,2013-08-30,19517,1780,1,0,1,a,a,5588.0,9036.5,10904.340000000006,19517,700.0,3.4926628489620617,1.7898378076985852,10.964606741573034,1
183,2015-06-02,16129,1150,1,0,1,a,a,4634.0,7618.0,10410.299999999983,18797,603.0,3.4805783340526544,1.549330951077301,14.025217391304349,1
198,2013-12-17,8772,782,1,0,0,a,a,2526.0,5877.049999999993,6945.069999999997,10676,340.0,3.472684085510689,1.2630542240754958,11.217391304347826,1
674,2015-03-27,26997,2392,0,0,0,a,a,7815.0,12830.399999999996,15246.519999999993,26997,1011.0,3.454510556621881,1.7706991497076061,11.286371237458194,1
126,2013-10-29,20295,474,0,0,1,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,3.4287886467308666,0.9956182006561901,42.81645569620253,0
543,2013-12-16,7847,452,1,0,0,c,a,2293.0,5045.0,6278.4000000000015,8754,230.0,3.422154382904492,1.2498407237512739,17.36061946902655,1
708,2013-04-24,14663,1019,1,0,0,c,c,4288.0,7840.199999999994,12030.039999999995,24975,464.0,3.419542910447761,1.218865440181413,14.389597644749754,1
897,2013-09-17,11166,216,0,0,0,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,3.417291507268554,0.8745451441049215,51.69444444444444,0
126,2013-08-28,20209,571,1,0,1,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,3.4142591653995606,0.9913992715969917,35.3922942206655,0
261,2013-12-16,37646,1964,1,0,0,d,c,11048.0,22145.8,26475.32,37646,908.0,3.407494569152788,1.4219280446846345,19.168024439918533,1
543,2014-03-31,7712,455,1,0,0,c,a,2293.0,5045.0,6278.4000000000015,8754,230.0,3.363279546445704,1.2283384301732923,16.94945054945055,1
848,2014-08-28,20706,1185,0,0,1,a,c,6168.0,9941.899999999998,13122.92,22408,727.0,3.3570038910505837,1.5778500516653307,17.473417721518988,1
575,2013-12-16,15482,1002,1,0,0,a,a,4613.0,10301.399999999998,12223.139999999998,17313,470.0,3.356167353132452,1.2666139797138871,15.451097804391217,1
835,2014-08-18,16123,1059,1,0,1,a,a,4804.0,8164.999999999999,9541.580000000013,16123,641.0,3.3561615320566194,1.689762072948084,15.2247403210576,1
956,2013-10-18,12181,508,0,0,0,a,a,3638.5,6288.25,8005.0,14852,497.5,3.347808162704411,1.5216739537788881,23.978346456692915,1
339,2013-02-01,16730,1444,0,0,0,a,c,4998.5,7241.300000000002,8169.870000000001,16730,675.0,3.347004101230369,2.0477682019420134,11.585872576177286,1
693,2013-12-16,18138,1049,1,0,0,d,a,5437.0,12449.0,14653.4,19730,442.0,3.3360308993930476,1.2378014658714018,17.290753098188752,1
198,2014-12-15,8400,641,1,0,0,a,a,2526.0,5877.049999999993,6945.069999999997,10676,340.0,3.32541567695962,1.2094910490463024,13.104524180967239,1
126,2013-08-26,19639,757,1,0,1,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,3.3179591147153236,0.9634366022511416,25.943196829590487,0
956,2013-08-14,12064,557,1,0,1,a,a,3638.5,6288.25,8005.0,14852,497.5,3.3156520544180292,1.507058088694566,21.658886894075405,1
972,2014-08-04,10904,828,1,0,1,a,a,3295.5,6141.799999999996,6906.84,13993,392.0,3.3087543620088,1.578724858256453,13.169082125603865,1
492,2014-03-31,24542,2191,1,0,0,a,a,7423.0,11501.6,14427.450000000004,24542,1125.0,3.3062104270510577,1.701062904394054,11.201277955271566,1
674,2015-02-02,25748,1564,1,0,0,a,a,7815.0,12830.399999999996,15246.519999999993,26997,1011.0,3.2946896992962253,1.688778816411877,16.462915601023017,1
28,2014-09-05,16611,1592,1,0,0,a,a,5049.5,9142.649999999998,11473.860000000055,18474,592.0,3.289632636894742,1.4477255256731318,10.434045226130653,1
927,2013-08-12,19662,1890,1,0,1,a,a,6042.0,10574.0,12457.299999999997,19662,843.0,3.254220456802383,1.578351649233783,10.403174603174604,1
1100,2013-12-16,15936,1343,1,0,0,a,a,4900.0,9253.799999999996,10664.91999999999,17444,654.0,3.2522448979591836,1.494244682566772,11.865971705137751,1
693,2014-03-31,17676,1025,1,0,0,d,a,5437.0,12449.0,14653.4,19730,442.0,3.251057568512047,1.2062729468928712,17.24487804878049,1
735,2013-12-16,16449,1175,1,0,0,d,c,5065.0,9812.199999999997,11655.400000000001,16449,522.5,3.2475814412635735,1.4112771762444873,13.999148936170213,1
548,2014-08-16,15353,632,0,0,1,d,c,4731.5,7821.4,9522.040000000005,19191,386.5,3.2448483567578994,1.6123645773384687,24.292721518987342,1
1028,2014-06-30,13840,1096,1,0,0,a,a,4269.0,8246.499999999998,9790.820000000002,13840,532.0,3.2419770438041695,1.4135690371184433,12.627737226277372,1
468,2013-12-23,20041,2217,0,0,1,c,c,6223.5,11146.449999999997,15091.499999999998,20041,690.0,3.220213706113923,1.3279660736175996,9.039693279206135,1
72,2014-06-30,12733,1039,1,0,0,a,a,3960.0,7972.099999999999,9311.979999999994,12733,460.0,3.2154040404040405,1.3673783663624717,12.255052935514918,1
169,2014-07-21,22609,1119,0,0,1,d,a,7058.0,10734.25,12470.250000000002,22609,690.5,3.203315386795126,1.813035023355586,20.204647006255584,1
693,2015-03-30,17384,958,1,0,1,d,a,5437.0,12449.0,14653.4,19730,442.0,3.1973514805959167,1.1863458310016788,18.146137787056368,1
983,2014-01-20,31523,2834,1,0,0,a,a,9862.0,16410.249999999993,19670.709999999995,31523,1345.5,3.196410464408842,1.6025349364613686,11.123147494707128,1
695,2014-06-30,15904,1089,1,0,0,a,a,4978.0,9300.0,10832.200000000004,15904,512.0,3.1948573724387304,1.4682151363527256,14.604224058769514,1
198,2014-06-30,8045,692,1,0,0,a,a,2526.0,5877.049999999993,6945.069999999997,10676,340.0,3.1848772763262074,1.1583756535211314,11.625722543352602,1
674,2015-02-03,24868,1570,1,0,0,a,a,7815.0,12830.399999999996,15246.519999999993,26997,1011.0,3.182085732565579,1.6310607273003945,15.839490445859873,1
552,2014-06-30,21050,1381,1,0,0,a,a,6621.0,13772.0,16058.00000000001,21050,668.0,3.1792780546745205,1.3108730850666328,15.242577842143374,1
717,2014-06-30,16230,1161,1,0,0,d,c,5110.0,9055.599999999995,11215.660000000003,16230,533.0,3.176125244618395,1.4470838096019312,13.979328165374676,1
665,2013-07-01,24741,2453,1,0,0,a,a,7791.0,12561.8,15361.679999999993,24741,1278.0,3.175587216018483,1.6105660318402681,10.086017121891562,1
552,2013-12-16,21017,1352,1,0,0,a,a,6621.0,13772.0,16058.00000000001,21050,668.0,3.174293913306147,1.3088180346244855,15.545118343195266,1
848,2014-08-26,19511,998,0,0,1,a,c,6168.0,9941.899999999998,13122.92,22408,727.0,3.163261997405966,1.4867880014508965,19.550100200400802,1
376,2014-03-21,25271,2050,1,0,0,a,a,7998.5,12840.449999999997,14525.789999999999,25271,931.0,3.1594674001375256,1.73973326063505,12.327317073170732,1
126,2013-10-17,18697,458,0,0,0,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,3.158810609900321,0.9172246118585261,40.8231441048035,0
253,2013-12-16,16539,1444,1,0,0,a,c,5246.0,10032.0,11581.44000000001,16539,666.0,3.1526877621044607,1.4280607592838184,11.453601108033242,1
803,2014-08-14,17728,727,0,0,1,d,a,5634.0,9282.199999999999,11818.59999999998,17728,473.0,3.146609868654597,1.5000084612390663,24.385144429160935,1
502,2014-03-31,32368,3069,1,0,0,a,a,10291.0,15684.599999999999,18156.169999999995,32368,1487.0,3.145272568263531,1.7827548431194469,10.546757901596612,1
468,2013-12-21,19537,2088,0,0,0,c,c,6223.5,11146.449999999997,15091.499999999998,20041,690.0,3.1392303366272998,1.2945697909419212,9.356800766283525,1
126,2013-03-04,18551,827,1,0,0,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,3.134144281128569,0.9100622439208171,22.4316807738815,0
636,2014-06-30,16470,1435,1,0,0,c,a,5256.0,10529.599999999999,13169.239999999998,16470,682.0,3.1335616438356166,1.2506416467465096,11.477351916376307,1
183,2015-06-26,14463,1364,0,0,0,a,a,4634.0,7618.0,10410.299999999983,18797,603.0,3.121061717738455,1.389297138410999,10.603372434017595,1
405,2013-12-16,12302,961,1,0,0,a,a,3942.0,7781.699999999999,9300.74,12302,461.0,3.1207508878741756,1.3226904525876435,12.801248699271593,1
977,2014-06-30,12724,1004,1,0,0,a,a,4079.0,8583.799999999997,10275.459999999992,12724,482.0,3.11939200784506,1.2382900619534318,12.673306772908367,1
357,2014-09-03,22990,1738,1,0,0,a,a,7378.0,11735.099999999999,13469.120000000004,29169,989.0,3.116020601789103,1.7068672637856068,13.227848101265822,1
123,2014-08-19,24916,1610,1,0,1,a,a,8001.0,13594.849999999999,17060.83000000001,29501,970.5,3.11411073615798,1.4604213276845257,15.475776397515528,1
349,2013-04-12,24672,1975,1,0,0,c,c,7956.5,10431.65,12297.19,24672,814.5,3.10086093131402,2.006312011117987,12.492151898734177,1
644,2015-02-10,28242,1418,0,0,0,c,a,9115.5,13142.599999999999,19906.080000000027,28242,1011.0,3.098239262794142,1.418762508741046,19.916784203102964,1
489,2013-12-16,20851,1277,1,0,0,a,a,6730.0,12759.699999999999,15207.450000000023,20851,654.0,3.098216939078752,1.3711042942768161,16.32811276429131,1
517,2013-02-04,17527,1414,1,0,0,a,c,5658.0,9567.000000000002,12125.939999999986,25141,651.0,3.0977377165076,1.4454137163799277,12.395332390381895,1
764,2013-04-11,11152,947,1,0,0,a,c,3602.0,5549.899999999996,6673.380000000005,17874,421.0,3.096057745696835,1.671117184994709,11.776135163674763,1
242,2013-12-16,11580,775,1,0,0,d,a,3742.0,7059.0,8253.800000000003,11580,349.0,3.094601817210048,1.402990137875887,14.941935483870967,1
636,2014-03-31,16206,1385,1,0,0,c,a,5256.0,10529.599999999999,13169.239999999998,16470,682.0,3.0833333333333335,1.2305949318259826,11.701083032490974,1
156,2013-12-16,20640,1403,1,0,0,a,a,6703.0,11815.8,13947.449999999997,20640,726.0,3.0792182604803817,1.4798404009335042,14.711332858161084,1
96,2013-12-16,14954,1165,1,0,0,a,a,4861.5,9217.299999999997,10438.600000000002,14954,550.0,3.076005348143577,1.4325675856915676,12.836051502145922,1
123,2014-09-10,24549,2011,0,0,0,a,a,8001.0,13594.849999999999,17060.83000000001,29501,970.5,3.068241469816273,1.4389100647506592,12.20735952262556,1
589,2013-12-16,13315,998,1,0,0,a,c,4342.5,8430.5,9650.800000000003,19781,496.0,3.0662061024755327,1.3796783686326517,13.341683366733466,1
198,2013-12-02,7745,628,1,0,0,a,a,2526.0,5877.049999999993,6945.069999999997,10676,340.0,3.0661124307205068,1.1151795446266206,12.3328025477707,1
754,2013-12-16,23404,2037,1,0,0,c,c,7666.0,12695.549999999997,17997.73999999997,23404,944.0,3.0529611270545263,1.300385492845215,11.489445262641139,1
589,2013-05-03,13254,1145,1,0,0,a,c,4342.5,8430.5,9650.800000000003,19781,496.0,3.0521588946459413,1.3733576491068094,11.575545851528384,1
635,2013-12-16,17437,1231,1,0,0,a,a,5718.5,10348.349999999999,12618.620000000008,17437,615.5,3.0492261956806854,1.3818468263566055,14.164906580016247,1
271,2014-12-15,22449,1497,1,0,0,a,a,7372.0,13789.799999999997,17131.540000000008,22449,824.5,3.0451709169831798,1.3103900758484053,14.995991983967937,1
657,2014-06-30,16980,1484,1,0,0,c,c,5585.5,10152.25,11736.0,16980,739.0,3.0400143228001073,1.4468302658486707,11.442048517520215,1
39,2015-04-30,13343,1447,1,0,0,a,a,4391.0,8337.499999999998,10387.940000000004,13343,602.0,3.0387155545433844,1.2844702607061644,9.221147201105737,1
636,2015-06-29,15965,1273,1,0,0,c,a,5256.0,10529.599999999999,13169.239999999998,16470,682.0,3.0374809741248097,1.2122947110083804,12.541241162608012,1
909,2015-06-23,30038,1635,0,0,0,a,c,9903.0,15898.4,19455.579999999954,41551,985.0,3.033222255882056,1.543927243495186,18.371865443425076,1
735,2014-12-15,15359,1058,1,0,0,d,c,5065.0,9812.199999999997,11655.400000000001,16449,522.5,3.0323790720631787,1.3177582922937006,14.517013232514177,1
699,2015-01-07,24338,1386,1,0,1,a,a,8040.0,11519.8,15108.280000000004,24338,961.0,3.0271144278606967,1.6109047489191353,17.55988455988456,1
996,2013-09-18,18465,1622,0,0,0,c,a,6101.0,10865.3,13543.800000000005,18465,682.0,3.0265530240944107,1.3633544500066446,11.384093711467324,1
876,2015-07-06,27330,1653,0,0,0,a,a,9042.0,15646.0,19860.650000000012,27330,1059.0,3.0225613802256137,1.376087892390228,16.533575317604356,1
708,2014-06-19,12951,789,1,a,0,c,c,4288.0,7840.199999999994,12030.039999999995,24975,464.0,3.0202891791044775,1.0765550239234454,16.41444866920152,1
762,2013-01-22,11150,814,1,0,0,d,c,3695.5,6044.399999999998,7445.309999999994,13847,378.0,3.0171830604789607,1.497587071592722,13.697788697788697,1
11,2013-12-23,22822,2849,0,0,1,a,c,7571.5,11934.699999999993,16629.889999999996,22822,1118.0,3.0141979792643467,1.3723482235901745,8.01053001053001,1
348,2013-07-29,25419,1582,1,0,0,a,a,8438.0,11801.799999999997,17232.43999999993,33934,721.0,3.0124437070395826,1.475066792630649,16.06763590391909,1
894,2013-06-17,23713,1993,1,0,0,a,a,7878.0,13324.0,15009.499999999993,23713,1016.0,3.01002792586951,1.5798660848129527,11.898143502257902,1
927,2013-08-09,18161,1817,0,0,1,a,a,6042.0,10574.0,12457.299999999997,19662,843.0,3.0057927838464087,1.4578600499305632,9.995046780407264,1
375,2013-12-16,26590,1536,1,0,0,a,c,8849.0,15888.5,19079.770000000008,26590,764.0,3.0048593061362867,1.3936226694556586,17.311197916666668,1
1028,2013-12-16,12810,1019,1,0,0,a,a,4269.0,8246.499999999998,9790.820000000002,13840,532.0,3.000702740688686,1.3083684512635303,12.571148184494602,1
271,2013-12-16,22121,1528,1,0,0,a,a,7372.0,13789.799999999997,17131.540000000008,22449,824.5,3.0006782419967446,1.2912441029819846,14.477094240837696,1
607,2014-12-15,10794,788,1,0,0,a,a,3600.0,7302.0999999999985,8444.589999999997,10794,421.0,2.9983333333333335,1.278214809718412,13.697969543147208,1
575,2015-03-30,13826,914,1,0,1,a,a,4613.0,10301.399999999998,12223.139999999998,17313,470.0,2.9971818773032735,1.1311332439945876,15.12691466083151,1
468,2014-12-22,18629,1878,0,0,1,c,c,6223.5,11146.449999999997,15091.499999999998,20041,690.0,2.993331726520447,1.234403472153199,9.919595314164004,1
803,2014-08-15,16830,785,0,0,1,d,a,5634.0,9282.199999999999,11818.59999999998,17728,473.0,2.987220447284345,1.4240265344457066,21.43949044585987,1
57,2013-12-16,29138,2009,1,0,0,d,c,9759.0,17804.399999999994,21943.759999999966,38037,946.0,2.9857567373706324,1.3278490103792626,14.503733200597312,1
1107,2014-06-30,17074,1292,1,0,0,a,a,5719.0,10175.899999999998,11794.819999999994,17074,649.0,2.9854869732470712,1.4475846176541913,13.215170278637771,1
169,2014-07-22,21071,1092,0,0,1,d,a,7058.0,10734.25,12470.250000000002,22609,690.5,2.98540663077359,1.6897014895451172,19.295787545787547,1
607,2013-12-16,10724,848,1,0,0,a,a,3600.0,7302.0999999999985,8444.589999999997,10794,421.0,2.9788888888888887,1.2699254789160876,12.64622641509434,1
460,2013-12-16,10651,672,1,0,0,a,a,3578.5,6453.249999999999,7762.300000000005,10651,352.0,2.976386754226631,1.3721448539736925,15.849702380952381,1
269,2013-12-16,25558,2496,1,0,0,a,c,8588.0,15500.399999999996,18167.36,25558,1177.0,2.9760130414531907,1.4068086942736864,10.239583333333334,1
17,2013-12-16,17845,1525,1,0,0,a,a,5997.0,10761.999999999998,12950.469999999994,17845,807.5,2.9756544939136234,1.3779422677323687,11.701639344262295,1
636,2015-06-30,15607,1280,1,0,0,c,a,5256.0,10529.599999999999,13169.239999999998,16470,682.0,2.9693683409436833,1.1851101506237265,12.19296875,1
693,2014-12-15,16135,935,1,0,0,d,a,5437.0,12449.0,14653.4,19730,442.0,2.9676292072834283,1.10110964008353,17.25668449197861,1
726,2013-12-16,31311,2099,1,0,0,a,c,10555.5,17995.55,22029.550000000003,31311,1080.5,2.9663208753730284,1.4213181839846931,14.917103382563125,1
897,2013-06-19,9687,238,1,0,0,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,2.9646518745218056,0.7587066819760321,40.70168067226891,0
27,2014-06-30,25737,1890,1,0,0,a,a,8684.0,14878.199999999997,18395.14000000001,25737,1035.0,2.963726393367112,1.3991195500550682,13.617460317460317,1
264,2014-05-21,20234,1442,1,0,0,a,a,6830.0,11174.249999999998,13048.329999999998,26919,930.0,2.9625183016105416,1.5506965259155772,14.031900138696255,1
965,2013-12-16,23168,1804,1,0,0,a,c,7824.0,13182.0,16172.00000000001,23168,866.0,2.9611451942740286,1.432599554786049,12.842572062084257,1
404,2013-01-28,13831,1268,0,0,0,a,c,4674.0,7194.900000000001,8375.839999999997,13831,592.0,2.9591356439880188,1.6512970639362745,10.907728706624606,1
193,2013-12-16,14140,1405,1,0,0,a,a,4793.0,8405.4,9881.280000000002,14140,743.0,2.9501356144377215,1.4309886978205248,10.064056939501778,1
751,2013-11-08,11649,649,1,0,0,a,a,3952.0,6236.599999999996,7251.520000000002,11649,563.0,2.9476214574898787,1.606421826044746,17.949152542372882,1
644,2015-02-11,26818,1446,0,0,0,c,a,9115.5,13142.599999999999,19906.080000000027,28242,1011.0,2.9420218309472874,1.3472265760008983,18.5463347164592,1
